time ms,free,max,total
290626,5830928,66650112,27852800
291626,6123056,66650112,27852800
292626,5910560,66650112,27852800
293626,5910824,66650112,27852800
294626,6407712,66650112,27852800
295635,7059048,66650112,27852800
296635,6128824,66650112,27852800
297649,6759944,66650112,27852800
298658,5960016,66650112,27852800
299658,7149328,66650112,27852800
300669,5855264,66650112,27852800
301692,6160464,66650112,27852800
302697,6760368,66650112,27852800
303717,6894680,66650112,27852800
304717,5950360,66650112,27852800
305717,5739424,66650112,27852800
306717,6184824,66650112,27852800
307722,6873784,66650112,27852800
308733,6774048,66650112,27852800
309745,6496752,66650112,27852800
310754,6100304,66650112,27852800
311754,6004960,66650112,27852800
312759,6436456,66650112,27852800
313759,6315624,66650112,27852800
314759,6261672,66650112,27852800
315759,4874512,66650112,27852800
316759,5322784,66650112,27852800
317761,6193680,66650112,27852800
318761,5119800,66650112,27852800
319761,5895936,66650112,27852800
320761,5261560,66650112,27852800
321762,5526008,66650112,27852800
322762,4855224,66650112,27852800
323762,5942216,66650112,27852800
324764,4821624,66650112,27852800
325771,5519744,66650112,27852800
326796,5470448,66650112,27852800
327801,5861088,66650112,27852800
328805,5739792,66650112,27852800
329806,4653296,66650112,27852800
330806,4730048,66650112,27852800
331806,5574056,66650112,27852800
332806,5681568,66650112,27852800
333811,4882528,66650112,27852800
334820,6221624,66650112,27852800
335820,5921848,66650112,27852800
336820,4724768,66650112,27852800
337837,5641584,66650112,27852800
338847,5172736,66650112,27852800
339854,5017768,66650112,27852800
340854,4706000,66650112,27852800
341854,5336936,66650112,27852800
342873,4354264,66650112,27852800
343877,5912488,66650112,27852800
344877,5671088,66650112,27852800
345877,5935576,66650112,27852800
346878,4901480,66650112,27852800
347878,4765296,66650112,27852800
348906,4440344,66650112,27852800
349906,5615488,66650112,27852800
350922,5329408,66650112,27852800
351922,4674984,66650112,27852800
352928,4981864,66650112,27852800
353928,5545696,66650112,27852800
354934,5535704,66650112,27852800
355946,4601320,66650112,27852800
356946,5006848,66650112,27852800
357952,4773552,66650112,27852800
358952,5350600,66650112,27852800
359952,4757656,66650112,27852800
360952,4639304,66650112,27852800
361964,5455584,66650112,27852800
362964,4575384,66650112,27852800
363964,4551808,66650112,27852800
364964,4506592,66650112,27852800
365964,5674104,66650112,27852800
366964,5691640,66650112,27852800
367964,4258128,66650112,27852800
368964,4100848,66650112,27852800
369964,4654024,66650112,27852800
370968,5646976,66650112,27852800
371968,5663952,66650112,27852800
372968,4833208,66650112,27852800
373968,5619064,66650112,27852800
374972,5354840,66650112,27852800
375972,5228888,66650112,27852800
376972,4941856,66650112,27852800
377987,4747336,66650112,27852800
378987,5523152,66650112,27852800
379988,5191152,66650112,27852800
380998,5477592,66650112,27852800
382008,3804664,66650112,27852800
383018,4834776,66650112,27852800
384018,4470256,66650112,27852800
385029,4145904,66650112,27852800
386029,4579128,66650112,27852800
387029,4103104,66650112,27852800
388035,4856928,66650112,27852800
389050,4952312,66650112,27852800
390059,4628888,66650112,27852800
391060,5272832,66650112,27852800
392060,3748096,66650112,27852800
393060,3716200,66650112,27852800
394060,4323424,66650112,27852800
395063,3645264,66650112,27852800
396063,3727760,66650112,27852800
397088,3775944,66650112,27852800
398090,4439840,66650112,27852800
399090,4205520,66650112,27852800
400090,4174592,66650112,27852800
401090,4911600,66650112,27852800
402090,4288840,66650112,27852800
403090,4065704,66650112,27852800
404090,3877504,66650112,27852800
405096,4404392,66650112,27852800
406098,4686808,66650112,27852800
407108,3987728,66650112,27852800
408113,4940240,66650112,27852800
409114,4385264,66650112,27852800
410114,4515432,66650112,27852800
411114,3872912,66650112,27852800
412116,4236896,66650112,27852800
413117,3977392,66650112,27852800
414117,4430576,66650112,27852800
415117,4692216,66650112,27852800
416117,3925840,66650112,27852800
417123,4162496,66650112,27852800
418123,3977784,66650112,27852800
419123,3130928,66650112,27852800
420123,3338256,66650112,27852800
421124,4209296,66650112,27852800
422124,4049688,66650112,27852800
423124,4065328,66650112,27852800
424124,4020464,66650112,27852800
425125,3040624,66650112,27852800
426125,3041552,66650112,27852800
427139,4174248,66650112,27852800
428148,4584160,66650112,27852800
429172,4071600,66650112,27852800
430187,3857536,66650112,27852800
431209,3642280,66650112,27852800
432209,3705344,66650112,27852800
433209,4147360,66650112,27852800
434209,3476304,66650112,27852800
435209,3272504,66650112,27852800
436209,3385616,66650112,27852800
437209,2857712,66650112,27852800
438217,3152128,66650112,27852800
439217,3699200,66650112,27852800
440218,3201768,66650112,27852800
441218,2675840,66650112,27852800
442232,2667184,66650112,27852800
443252,3971128,66650112,27852800
444253,3324384,66650112,27852800
445253,2688216,66650112,27852800
446254,3098880,66650112,27852800
447254,2681136,66650112,27852800
448254,2955400,66650112,27852800
449256,3574728,66650112,27852800
450256,2965408,66650112,27852800
451265,2592336,66650112,27852800
452265,2617232,66650112,27852800
453265,3389400,66650112,27852800
454265,3615664,66650112,27852800
455281,2633784,66650112,27852800
456281,2949024,66650112,27852800
457297,2501160,66650112,27852800
458297,2660624,66650112,27852800
459297,2355736,66650112,27852800
460329,4116280,66650112,27852800
461339,3197544,66650112,27852800
462339,2958352,66650112,27852800
463341,2994616,66650112,27852800
464345,3958080,66650112,27852800
465356,2822880,66650112,27852800
466356,2631280,66650112,27852800
467369,2317592,66650112,27852800
468391,2738792,66650112,27852800
469391,2967376,66650112,27852800
470402,2636792,66650112,27852800
471402,2389416,66650112,27852800
472407,3715856,66650112,27852800
473407,3617840,66650112,27852800
474424,3030832,66650112,27852800
475426,3485824,66650112,27852800
476426,2876376,66650112,27852800
477442,2893784,66650112,27852800
478442,3040040,66650112,27852800
479452,3381912,66650112,27852800
480452,2630312,66650112,27852800
481452,3389544,66650112,27852800
482452,2253640,66650112,27852800
483452,1986856,66650112,27852800
484452,1969344,66650112,27852800
485466,3209232,66650112,27852800
486470,2311296,66650112,27852800
487470,2061024,66650112,27852800
488478,3135608,66650112,27852800
489478,3280824,66650112,27852800
490485,3338800,66650112,27852800
491511,2743552,66650112,27852800
492525,2380568,66650112,27852800
493525,1870944,66650112,27852800
494527,3128936,66650112,27852800
495540,3153176,66650112,27852800
496540,2385176,66650112,27852800
497540,2738304,66650112,27852800
498540,2126640,66650112,27852800
499540,3117048,66650112,27852800
500540,1741672,66650112,27852800
501540,2289208,66650112,27852800
502540,2241272,66650112,27852800
503540,2234888,66650112,27852800
504541,2064968,66650112,27852800
505541,2090632,66650112,27852800
506541,2854088,66650112,27852800
507553,3003368,66650112,27852800
508567,1991640,66650112,27852800
509567,2339552,66650112,27852800
510567,2117264,66650112,27852800
511567,2531408,66650112,27852800
512567,2493376,66650112,27852800
513567,2701080,66650112,27852800
514583,1937712,66650112,27852800
515601,1712944,66650112,27852800
516601,3055936,66650112,27852800
517604,2825504,66650112,27852800
518607,1638824,66650112,27852800
519607,1403304,66650112,27852800
520614,2787016,66650112,27852800
521614,2213896,66650112,27852800
522618,1422200,66650112,27852800
523620,3145000,66650112,27852800
524620,2915888,66650112,27852800
525620,2859312,66650112,27852800
526620,2534800,66650112,27852800
527620,3178456,66650112,27852800
528621,1973848,66650112,27852800
529621,1776968,66650112,27852800
530621,1532272,66650112,27852800
531621,3031744,66650112,27852800
532621,2862616,66650112,27852800
533621,2743672,66650112,27852800
534621,2662584,66650112,27852800
535621,2421760,66650112,27852800
536621,1322872,66650112,27852800
537662,13498872,66650112,30490624
538662,10545472,66650112,30490624
539662,10450536,66650112,30490624
540662,10355544,66650112,30490624
541662,10225448,66650112,30490624
542662,16301176,66650112,34021376
543662,16007328,66650112,34021376
